id,question,options,correct,explanation,subject,chapter,set_name,difficulty,marks,negative_marks,tags,created_by,created_at,updated_at
01cfdc43-fb69-417a-9723-3d4c8d4b7382,Greenhouse gases include:,"[""N₂"",""CO₂, CH₄, N₂O, CFCs (absorb infrared)"",""O₂"",""Ar""]",1,"Greenhouse gases trap infrared radiation. CO₂ ~420 ppm, methane 25x potency, N₂O 300x potency.",CEE,Sets,3,,1,0,[],,2026-06-04 18:48:00.516175+00,2026-06-04 18:48:00.516175+00
01f6056d-c9b1-451d-809e-3c780cd4ed6d,"If concentration of reactants is increased by x, K becomes:","[""K/x"",""K/x (duplicate)"",""K+x"",""K""]",3,Rate constant K is independent of concentration.,Chemistry,Chemical Kinetics + Electrochemistry,1,,1,0,[],,2026-06-02 17:34:07.581047+00,2026-06-02 17:34:07.581047+00
021cd251-580f-413f-b29e-057730a33b42,The fibre obtained by condensation of hexamethylene diamine and adipic acid is:,"[""Dacron"",""Rayon"",""Nylon 66"",""Teflon""]",2,Nylon-66 is formed from hexamethylene diamine and adipic acid.,Chemistry,Inorganic,Set-1,Medium,1,0,[],,2026-05-30 10:58:11.313564+00,2026-05-30 10:58:11.313564+00
022de853-31aa-4b66-a71a-a7c3ed01bfd6,Which method is best for separating two miscible liquids with close boiling points?,"[""A) Simple distillation"",""B) Fractional distillation"",""C) Filtration"",""D) Crystallization""]",1,Fractional distillation provides better separation for liquids with close boiling points.,Chemistry,Sets,3,,1,0,[],,2026-06-04 18:24:10.204772+00,2026-06-04 18:24:10.204772+00
023ffdde-bfe2-4f8a-b1a0-595278dfa9f8,Which cell is attacked by sporozoites?,"[""RBC"",""Liver"",""WBC"",""Gut""]",1,Sporozoites first invade liver cells.,Zoology,Paramecium And Plasmodium,1,,1,0,[],,2026-06-01 06:12:53.125821+00,2026-06-01 06:12:53.125821+00
0261e9af-fa71-47e5-8c4b-18ff3684e24a,Which vascular tissue conducts water in plants?,"[""A) Xylem"",""B) Phloem"",""C) Cambium"",""D) Epidermis""]",0,Xylem transports water and dissolved minerals.,Botany,Sets,3,,1,0,[],,2026-06-04 18:24:10.204772+00,2026-06-04 18:24:10.204772+00
026a65a9-76dc-4ab0-a9aa-532b2d4d62e9,"A tuning fork of frequency 512 Hz makes 4 beats per second with a vibrating string of a piano. When the tension in the piano string is slightly increased, the beat frequency decreases to 2 beats per second. The original frequency of the piano string was:","[""508 Hz"",""516 Hz"",""510 Hz"",""514 Hz""]",0,"The original frequency is either 512 + 4 = 516 Hz or 512 - 4 = 508 Hz. Increasing tension increases the frequency of the piano string. If the original was 516 Hz, increasing tension would make it higher (e.g., 518 Hz), increasing beats to 6. If the original was 508 Hz, increasing tension makes it higher (e.g., 510 Hz), decreasing beats to 2. Thus, the original frequency was 508 Hz.",CEE,Sets,6,,1,0,[],,2026-06-06 19:54:14.372879+00,2026-06-06 19:54:14.372879+00
027a94a4-ecb6-4d8e-a69f-a0cb08884c91,"Find the next number in the series: 2, 6, 12, 20, 30, ___","[""40"",""42"",""44"",""36""]",1,"Differences: 6-2=4, 12-6=6, 20-12=8, 30-20=10. Second differences: 6-4=2, 8-6=2, 10-8=2 (constant). So differences increase by 2. Next difference = 10+2 = 12. Next number = 30+12 = 42. Pattern: n(n+1) sequence — 1×2=2, 2×3=6, 3×4=12, 4×5=20, 5×6=30, 6×7=42. These are pronic (oblong) numbers. Alternatively: nth term = n² + n = n(n+1), for n=6: 42.",MAT,Sets,1,,1,0,[],,2026-06-02 18:09:17.092329+00,2026-06-02 18:09:17.092329+00
0283069b-a50e-42a9-85bb-f492af3469a8,"Pointing to a woman, Rajan said, 'She is the mother of my son's wife.' How is the woman related to Rajan?","[""Mother-in-law"",""Daughter-in-law"",""Sister"",""Mother of daughter-in-law""]",3,"Rajan's son → son's wife (daughter-in-law of Rajan). The woman is the mother of Rajan's son's wife. So woman = mother of Rajan's daughter-in-law. The woman is Rajan's son's mother-in-law (the MIL of his son) — but relative to Rajan himself, she is the 'mother of daughter-in-law.' There is no single standard relationship term for this in family relations — it is the 'besan' (co-parent-in-law) relationship in South Asian culture. Answer: Mother of daughter-in-law (samdhani).",MAT,Sets,1,,1,0,[],,2026-06-02 18:09:17.092329+00,2026-06-02 18:09:17.092329+00
028a2ee8-0534-4713-aaf4-be3b8df522fe,24. Which is the most volatile compound?,"[""A) HCl"",""B) HF"",""C) HBr"",""D) HI""]",0,HCl has the lowest boiling point among the given hydrogen halides.,Chemistry,"Nitrogen,Oxygen & Halogen",1,,1,0,[],,2026-05-30 16:33:22.591786+00,2026-05-30 16:33:22.591786+00
02ab9e2c-62cc-4724-9218-62196ab41cd4,A 2 kg body rotates in a vertical circle of radius 1 m with speed 4 m/s at the highest point. Tension is,"[""18 N"",""12 N"",""45 N"",""0""]",1,mv²/r = T+mg ⇒ T=32−20=12 N.,Physics,Mechanics,2,,1,0,[],,2026-06-02 04:40:00.163658+00,2026-06-02 04:40:00.163658+00
02c051e0-faa8-46ee-a6ac-b6f46613dc02,Which is not an actinoid?,"[""Curium (Z-96)"",""Uranium (Z-92)"",""Californium (Z-98)"",""Terbium (Z-65)""]",3,"Terbium is a lanthanoid, not an actinoid.",Chemistry,Inorganic,4,,1,0,[],,2026-06-02 17:50:06.803031+00,2026-06-02 17:50:06.803031+00
02e37ab7-2d61-428e-b0e2-3b8508a5b349,Colour change in animals due to climate is due to:,"[""Chromatophores"",""Keratin"",""Melanin"",""Eledin""]",0,,Zoology,Animal Behavior and Animal Adaptation,1,,1,0,[],,2026-06-01 06:35:21.750841+00,2026-06-01 06:35:21.750841+00
02e80fd3-99af-4df3-b98b-3f497fa50d3e,26. Which statement regarding carbocation is not true?,"[""A) Positively charged carbon"",""B) Very reactive"",""C) Very stable"",""D) CH3+ is a carbocation""]",2,Carbocations are generally unstable and highly reactive.,Chemistry,organic,2,,1,0,[],,2026-05-30 11:03:53.014425+00,2026-05-30 11:03:53.014425+00
02f7946b-b5a3-4238-a7ea-436ae0075255,"In the life cycle of bryophytes like Funaria, the dominant, physically independent stage of the lifecycle is the:","[""Capsule and seta complex."",""Haploid gametophyte."",""Diploid sporophyte."",""Protonema thread only.""]",0,Bryophytes are unique among land plants in having a dominant haploid gametophyte generation. The sporophyte is structurally dependent on the gametophyte for nutrition and support.,CEE,Sets,6,,1,0,[],,2026-06-06 19:54:14.372879+00,2026-06-06 19:54:14.372879+00
0310421d-29d9-4f43-be20-a8448592b666,The ability of a substance to assume two or more crystalline structures is called,"[""isomerism"",""isomorphism"",""amorphism"",""polymorphism""]",3,Polymorphism is existence of multiple crystal forms.,Chemistry,"Nitrogen,Oxygen & Halogen",2,,1,0,[],,2026-06-02 17:47:32.800408+00,2026-06-02 17:47:32.800408+00
03183080-2b9a-456b-bfe7-c1e5d44e496b,The unit of heredity is:,"[""A) Chromosome"",""B) Gene"",""C) Nucleus"",""D) DNA""]",1,A gene is the functional unit of heredity passed from parents to offspring.,CEE,Sets,2,,1,0,[],,2026-06-04 18:21:30.946088+00,2026-06-04 18:21:30.946088+00
0320a16d-8e24-4ca6-b5cd-31f61e7f4e54,Fusion of vegetative cells is called,"[""Plasmogamy"",""Spermatisation"",""Parthenogenesis"",""Somatogamy""]",0,,Botany,Algae and Fungi,1,,1,0,[],,2026-06-01 06:54:48.04015+00,2026-06-01 06:54:48.04015+00
0330945c-f70e-4c82-9da7-a370912f9c1f,14. The purest form of iron is:,"[""A) Cast iron"",""B) Pig iron"",""C) Steel"",""D) Wrought iron""]",3,Wrought iron contains very little carbon and is the purest commercial form.,Chemistry,Periodic Table+Metals & Metallurgy+Hydrogen & its compounds +The Alkali Metals,1,,1,0,[],,2026-05-30 16:36:44.900123+00,2026-05-30 16:36:44.900123+00
0345dcc8-3839-4687-a59d-387ed07d7070,"The Doppler effect for sound: when the source moves toward a stationary observer, the observed frequency:","[""Decreases"",""Increases"",""Remains unchanged"",""First increases then decreases""]",1,"When a source moves toward an observer, sound waves are compressed (shorter wavelength), so the observed frequency increases (blue shift). When moving away, frequency decreases (red shift). Formula: f' = f(v ± vo)/(v ∓ vs), where v = speed of sound, vo = observer speed, vs = source speed.",PHYSICS,Sets,1,,1,0,[],,2026-06-02 18:29:20.2447+00,2026-06-02 18:29:20.2447+00
035f7419-21fc-4207-b0a7-caf28728ac4e,Female secondary sexual characteristics depend on:,"[""Estrogen"",""Testosterone"",""Relaxin"",""Progesterone""]",0,Estrogen promotes female secondary sexual traits.,Zoology,Endocrinology of Mammals,1,,1,0,[],,2026-06-01 06:36:40.276438+00,2026-06-01 06:36:40.276438+00
03c18182-13cd-4188-96ad-0541dbf07455,Which has lower energy than infrared waves?,"[""Visible"",""Microwaves"",""Amplitude"",""None""]",1,Microwaves have lower frequency and lower energy than infrared.,Physics,Optics,1,,1,0,[],,2026-06-02 04:29:53.843001+00,2026-06-02 04:29:53.843001+00
03c213f9-dec4-4ee4-9ab9-b03ed8364d2c,On how many criteria living organisms have been classified into five kingdoms?,"[""Two"",""Three"",""Four"",""Five""]",1,"Whittaker's five-kingdom classification is mainly based on three criteria: cell structure, body organization, and mode of nutrition.",Botany,Special Modes of Nutrition+Plant Diversity,1,,1,0,[],,2026-06-02 10:48:41.470879+00,2026-06-02 10:48:41.470879+00
03ee4399-5d93-4527-8d25-d05bfabecd8d,Which is 'Devil's boot' plant?,"[""Cephalotus"",""Sarracenia"",""Aldrovanda"",""Dionaea""]",0,Cephalotus is commonly known as the Devil's boot plant.,Botany,Special Modes of Nutrition+Plant Diversity,1,,1,0,[],,2026-06-02 10:48:41.470879+00,2026-06-02 10:48:41.470879+00
040117e6-6b4e-478e-8fc5-c0cecf51827f,The hydrolysis of fats and oils in the body produces:,"[""Carboxylic acid"",""Lipase"",""CO2"",""Ester""]",0,Hydrolysis of fats yields fatty acids and glycerol.,Chemistry,Organic,4,,1,0,[],,2026-06-02 17:13:40.016596+00,2026-06-02 17:13:40.016596+00
0423512f-c051-4676-bff1-6c81365ec620,Number of Cl- around Na+ in NaCl is:,"[""3"",""4"",""6"",""8""]",2,NaCl has coordination number 6.,Chemistry,Solid State+Colloids and Catalysis,1,,1,0,[],,2026-06-02 17:37:28.982088+00,2026-06-02 17:37:28.982088+00
0432c9e2-d951-474f-882f-4dc18cfc86a6,24. Metalloid among the following is:,"[""A) Si"",""B) C"",""C) Ge"",""D) Pb""]",2,Germanium is a metalloid.,Chemistry,"Alkali-metal,Carbon,Boron",1,,1,0,[],,2026-06-02 17:15:14.917009+00,2026-06-02 17:15:14.917009+00
0444acc4-e9c4-42c6-adc3-db7556346f78,The RMS (root mean square) speed of gas molecules is proportional to:,"[""√T"",""T"",""T²"",""1/√T""]",0,"RMS speed: v_rms = √(3RT/M) = √(3kT/m), where T = absolute temperature, M = molar mass. v_rms ∝ √T. Doubling temperature increases v_rms by √2. Heavier molecules (larger M) have lower RMS speed. Order: v_rms > v_avg > v_mp (most probable speed).",PHYSICS,Sets,1,,1,0,[],,2026-06-02 18:29:20.2447+00,2026-06-02 18:29:20.2447+00
044c717c-0a16-4142-ac8b-7646ccc63297,Which C4 plant has Kranz anatomy?,"[""A) Rice"",""B) Maize"",""C) Wheat"",""D) Potato""]",1,Maize is a classic C4 plant with specialized bundle-sheath cells.,Botany,Sets,3,,1,0,[],,2026-06-04 18:24:10.204772+00,2026-06-04 18:24:10.204772+00
044d13ac-3d23-4f35-bb16-6ba5176ad4a8,What type of bond is present in NaCl?,"[""A) Covalent"",""B) Ionic"",""C) Metallic"",""D) Hydrogen""]",1,NaCl forms ionic bonds due to the electrostatic attraction between Na⁺ and Cl⁻ ions.,CEE,Sets,2,,1,0,[],,2026-06-04 18:21:30.946088+00,2026-06-04 18:21:30.946088+00
0451f5c0-3b17-4ec1-9e25-0c0dc6d3d092,The process of nitrogenous waste excretion in frogs change during metamorphosis. It changes from:,"[""Uricotelic to Ureotelic"",""Ammonotelic to Ureotelic"",""Ureotelic to Ammonotelic"",""Ammonotelic to Uricotelic""]",0,Tadpoles live in water and excrete nitrogenous wastes as highly soluble ammonia (ammonotelic). Adult frogs live on land and conserve water by excreting urea (ureotelic).,CEE,Sets,6,,1,0,[],,2026-06-06 19:54:14.372879+00,2026-06-06 19:54:14.372879+00
045f504a-bb79-4f21-a115-2f3c1395db65,The longest vein in the human body is:,"[""Inferior vena cava"",""Subclavian"",""Long saphenous"",""Jugular""]",2,Great (long) saphenous vein is the longest vein.,Zoology,"Respiratory System, Cardiovascular system and Blood",1,,1,0,[],,2026-06-01 06:50:02.649702+00,2026-06-01 06:50:02.649702+00
0470a66b-e124-4ff6-9ba4-440aa408e139,19. Dehydration of ethyl alcohol proceeds via:,"[""A) Carbonium ion"",""B) Ethylium"",""C) Carbanion"",""D) Free radicals""]",0,Acid-catalyzed dehydration of ethanol involves carbocation formation.,Chemistry,organic,2,,1,0,[],,2026-05-30 11:03:53.014425+00,2026-05-30 11:03:53.014425+00
047b5e0e-7110-4ce8-b767-434479d1b001,Ora serrata is:,"[""Oral cavity of protochordates"",""Anterior edge of sensory portion of the retina"",""Gland present in oral cavity of frog"",""A part of utriculus of ear""]",1,Ora serrata marks the anterior limit of the photosensitive retina.,Zoology,,1,,1,0,[],,2026-06-02 11:05:27.056038+00,2026-06-02 11:05:27.056038+00
047ed437-883e-414b-a205-79f929e75fd7,Which of the following shows the highest acidity?,"[""Ethanol (pKa ~16)"",""Phenol (pKa ~10)"",""Water (pKa ~15.7)"",""Acetic acid (pKa ~4.75)""]",3,Acid strength order: Acetic acid (pKa 4.75) > Phenol (pKa 10) > Water (pKa 15.7) > Ethanol (pKa 16). Lower pKa = stronger acid. Acetic acid is most acidic because the carboxylate anion (CH₃COO⁻) is resonance-stabilized over two oxygens. Phenol is more acidic than alcohol because phenoxide anion is resonance-stabilized by the ring. Carboxylic acids > phenols > water > alcohols in acidity.,CHEMISTRY,Sets,1,,1,0,[],,2026-06-02 18:09:17.092329+00,2026-06-02 18:09:17.092329+00
04816db4-64aa-419e-9c43-4f2a25f3ba6d,Which reaction is used to convert a primary alcohol to an aldehyde?,"[""Reduction with LiAlH₄"",""Controlled oxidation with PCC (pyridinium chlorochromate) or mild oxidizing agent"",""Treatment with HBr"",""Dehydration with H₂SO₄""]",1,"Oxidation of primary alcohol: with strong oxidizing agents (KMnO₄, K₂Cr₂O₇/H₂SO₄), primary alcohol → aldehyde → carboxylic acid (over-oxidation). To stop at aldehyde: use mild/controlled oxidants — PCC (pyridinium chlorochromate) in CH₂Cl₂ or MnO₂. Reaction: R-CH₂OH → [PCC] → R-CHO. Secondary alcohol → ketone (no over-oxidation issue). Tertiary alcohols cannot be oxidized (no H on carbon bearing -OH). LiAlH₄ is a reducing agent.",CHEMISTRY,Sets,1,,1,0,[],,2026-06-02 18:09:17.092329+00,2026-06-02 18:09:17.092329+00
049dfb8d-5c1f-4f66-ad37-ed5a46de8493,31. Which one of the following combines with Fe(II) ions to form a brown complex?,"[""A) N2O"",""B) NO"",""C) N2O3"",""D) N2O5""]",1,Nitric oxide forms a brown nitroso ferrous complex with Fe2+.,Chemistry,"Nitrogen,Oxygen & Halogen",1,,1,0,[],,2026-05-30 16:33:22.591786+00,2026-05-30 16:33:22.591786+00
04b2ea43-6b71-42a2-8212-17ad383a61c6,Streptomycin is a derivative of:,"[""Carbohydrates"",""Peptides"",""Purines"",""Terpenes""]",0,Streptomycin is an aminoglycoside antibiotic derived from carbohydrate units.,Chemistry,Organic,4,,1,0,[],,2026-06-02 17:13:40.016596+00,2026-06-02 17:13:40.016596+00
04c28783-819b-4cd4-907b-476298ba9967,Femoral artery supplies:,"[""Hind limb"",""Rectum"",""Thigh dorsum"",""Thigh ventral region""]",0,Supplies lower limb.,Zoology,"Respiratory System, Cardiovascular system and Blood",1,,1,0,[],,2026-06-01 06:50:02.649702+00,2026-06-01 06:50:02.649702+00
04c44c99-5f78-4503-97b1-f37b793abc42,Emission line spectrum is obtained from:,"[""Sun"",""Candle flame"",""White hot filament of electric bulb"",""Sodium vapour lamp""]",3,Sodium vapour lamp produces a line emission spectrum.,Physics,Modern physics,1,,1,0,[],,2026-06-01 16:37:30.889396+00,2026-06-01 16:37:30.889396+00
04c4b4d0-e49e-4937-9354-1df98e787792,Streptomycin is a derivative of:,"[""Carbohydrates"",""Peptides"",""Purines"",""Terpenes""]",0,Streptomycin is an aminoglycoside antibiotic derived from carbohydrate units.,Chemistry,Inorganic,Set-1,Medium,1,0,[],,2026-05-30 10:58:19.632107+00,2026-05-30 10:58:19.632107+00
04cbc0a2-c3ee-455e-8f5a-41a98db6b1c7,Autotrophic plants can synthesize their food:,"[""They are photoautotrophs only"",""They are chemoautotrophs only"",""They can be either photoautotrophs or chemoautotrophs"",""None of the above""]",2,Autotrophs may obtain energy from light or chemical reactions.,Botany,Special Modes of Nutrition+Plant Diversity,1,,1,0,[],,2026-06-02 10:48:41.470879+00,2026-06-02 10:48:41.470879+00
04eb192a-b53b-4081-86e0-e07881fefc32,"Bordeaux mixture, a widely used antifungal agent, is:","[""Lime + CuSO4"",""Lime + CuO"",""Lime + CaCO3"",""CuO + CuSO4""]",0,Bordeaux mixture consists of copper sulfate and lime.,Chemistry,Inorganic,Set-1,,1,0,[],,2026-05-30 10:58:02.420457+00,2026-05-30 10:58:02.420457+00
04f3e12b-7eac-41b9-aa6a-134469589eda,Brain is:,"[""Mesodermal"",""Endodermal"",""Ectodermal"",""Mesendodermal""]",2,The nervous system develops from ectoderm.,Zoology,,1,,1,0,[],,2026-06-02 11:05:27.056038+00,2026-06-02 11:05:27.056038+00
04f5c33a-9816-44c7-91df-121e1b535d7d,Secondary xylem is:,"[""Wood"",""Bark"",""Cork"",""Bast""]",0,Secondary xylem forms wood.,Botany,Plant Anatomy,1,,1,0,[],,2026-06-01 06:20:31.384769+00,2026-06-01 06:20:31.384769+00
04f685d5-ade8-4a93-9f3a-bf709cbfc311,The core metal of chlorophyll molecule is:,"[""Fe"",""Cu"",""Zn"",""Mg""]",3,Magnesium is the central atom in chlorophyll.,Botanty,Photosynthesis and Respiration,1,,1,0,[],,2026-06-01 06:24:59.776162+00,2026-06-01 06:24:59.776162+00
04f6e38e-784b-46f8-9112-186a451e219f,Gas vacuoles occur in,"[""Brown algae"",""Red algae"",""Green algae"",""Blue-green algae""]",0,,Botany,Algae and Fungi,1,,1,0,[],,2026-06-01 06:54:48.04015+00,2026-06-01 06:54:48.04015+00
